cartridge,dependencies
bc_orderprocess,ac_inventory_service:app:bc_abtest:bc_address:bc_address_orm:bc_addresscheck:bc_application:bc_basket:bc_basket_orm:bc_customer:bc_customer_orm:bc_foundation:bc_giftcard:bc_giftpackaging:bc_handler_chain:bc_image:bc_marketing:bc_mvc:bc_order:bc_order_orm:bc_organization:bc_payment:bc_payment_orm:bc_preview:bc_pricing:bc_product:bc_product_pricing:bc_promotion:bc_repository:bc_requisition:bc_shipping:bc_shipping_data:bc_spreadsheet:bc_store:bc_user:bc_user_orm:bc_warranty:bc_wishlist:bts:businessobject:core:isml:orm:pf_property:xcs
bc_product_pricing_orm,app:bc_address:bc_application:bc_customer:bc_customer_orm:bc_customer_segment:bc_foundation:bc_image:bc_pricing:bc_product:bc_product_pricing:bc_repository:bc_search:bc_service:bc_taxation:bc_user:businessobject:configuration:core:orm:pf_property:xcs
bc_rating,bc_address:bc_foundation:bc_repository:bc_user:businessobject:core:pf_property
bc_product_rating,bc_product:bc_rating:bc_repository:businessobject:core:jmx
bc_rating_orm,app:bc_address:bc_customer:bc_rating:bc_repository:bc_user:businessobject:cache:core:jmx:orm:pf_property
bc_product_rating_orm,app:bc_address:bc_auditing:bc_customer:bc_image:bc_mvc:bc_product:bc_product_rating:bc_rating:bc_rating_orm:bc_repository:bc_search:bc_user:businessobject:cache:configuration:core:jmx:orm:pf_property:xcs
sld_ch_b2c_base,ac_ruleengine_drools:app:bc_address:bc_addresscheck:bc_application:bc_basket:bc_basket_orm:bc_catalog:bc_customer:bc_customer_catalog_filter:bc_customer_catalog_filter_orm:bc_customer_orm:bc_customer_segment:bc_foundation:bc_giftcard:bc_giftpackaging:bc_handler_chain:bc_image:bc_mail:bc_marketing:bc_mvc:bc_order:bc_order_impex:bc_order_orm:bc_orderprocess:bc_organization:bc_organization_hierarchies:bc_payment:bc_payment_orm:bc_pmc:bc_pricing:bc_product:bc_product_pricing:bc_product_pricing_orm:bc_product_rating_orm:bc_promotion:bc_rating:bc_rating_orm:bc_region:bc_repository:bc_requisition:bc_service:bc_shipping:bc_shipping_data:bc_spreadsheet:bc_store:bc_taxation:bc_user:bc_user_orm:bc_warranty:bc_wishlist:bts:businessobject:cache:component:configuration:core:isml:jmx:orm:pf_extension:pf_objectgraph:pf_property:xcs
ac_cloudinary,app:bc_application:bc_foundation:bc_image:bc_mvc:bc_product:bc_repository:bc_service:businessobject:configuration:core:orm:pf_objectgraph:pf_objectgraph_guice:pipeline:sld_ch_b2c_base:xcs
ac_customer_segment_demo,bc_address:bc_customer:bc_customer_segment:bc_repository:bc_service:businessobject:configuration:core:pf_property
ac_customer_segment_std,bc_application:bc_customer:bc_customer_segment:bc_repository:bc_service:businessobject:core
ac_taxation_std,app:bc_address:bc_application:bc_basket:bc_product:bc_repository:bc_service:bc_taxation:bc_user:bts:businessobject:core:jmx
bc_abtest_orm,bc_abtest:bc_foundation:bc_pmc:core:orm
